marika; hafatra;
hama; Mandeha mandra-jurong teboka, adala.. Hita afa-tsy ao bugis n lehibe tany la e buffet... Cine tsy nahazo mihoatra wat... 
hama; Ok lar... Vazivazy wif u oni... 
spam; maimaim-Poana ny fidirana ao amin'ny 2 ny wkly comp mba handresy FA Kapoaka farany tkts faha-21 Mey 2005. Lahatsoratra FA ny 87121 mba handray ny teny fanontaniana(std txt tahan'ny)T&C ny mampihatra ny 08452810075over18 
hama; U dun milaza izany tany am-boalohany hor... U c efa avy eo hoe... 
hama; Nah heveriko fa tsy dia mandeha usf, mipetraka manodidina eto aza 
spam; FreeMsg Hey misy darling efa ho 3 herinandro izao, ary tsy misy teny indray! Tiako ny sasany mahafinaritra anao fa mbola? Tb ok! XxX std chgs mandefa, £1.50 ny rcv 
hama; Na dia ny rahalahiny no tsy te hiresaka amiko. Izy ireo hitondra ahy toy ny sida patent. 
hama; Toy ny isan-ny fangatahana 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' efa napetraka araka ny callertune for rehetra Mpiantso. Ny asa fanaovan-gazety *9 ny dika mitovy ny namana Callertune 
spam; MPANDRESY!! Amin'ny maha-sarobidy ny tambajotra mpanjifa efa nofantenana mba receivea £900 loka valisoa! Milaza antso 09061701461. Milaza ny fehezan-dalàna KL341. Manan-kery 12 ora ihany. 
spam; Nanana ny finday 11 volana na mihoatra? U R mitondra ny lohateny hoe ny Vaovao farany loko finday amin'ny fakan-tsary ho maimaim-Poana! Antsoy Ny Finday Vaovao ny Mpiara-POANA amin'ny 08002986030 
hama; Iany aho ho an-trano tsy ho ela aho ary tsy te-hiresaka momba izany zavatra intsony ny anio alina, k? Efa niantso ampy amin'izao fotoana izao. 
spam; ENINA vintana hahazo VOLA! Avy 100 ny 20,000 kilao txt> CSH11 sy handefa ny 87575. Cost 150p/andro, 6days, 16+ TsandCs mampihatra ny Valin-HL 4 info 
spam; MAIKA! Nahazo 1 herinandro maimaim-POANA ny fidirana ho mpikambana ao ny £100.000 ny Loka Jackpot! Txt ny teny hoe: MILAZA ny Tsy misy: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18 
hama; Aho nitady ny teny marina ny hisaotra anareo noho izany breather. Mampanantena aho fa izaho tsy mandray ny fanampiana ho toy ny fanomezana ary hotanterahiko ny fampanantenana. Ianao no tena tsara sy fitahiana amin'ny fotoana rehetra. 
hama; EFA DATY NY ALAHADY DIA!! 
spam; XXXMobileMovieClub: Mba hampiasa ny bola ny, tsindrio ny WAP rohy ao amin'ny manaraka txt hafatra na click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL 
hama; Oh k...aho mijery eto:) 
hama; Eh u tsarovy 2 tsipelina ny anarany... Eny nataoko. Izy v maditra manao aho mandra-v mando. 
hama; 1Tsara raha izany no fomba u mahatsapa. Izany no fomba ny gota b56
spam; Angletera v Makedonia - aza malahelo ny tanjona/ekipa vaovao. Txt ora ekipam-pirenena 87077 ohatra ANGLETERA mba 87077 Miezaka:pays de GALLES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+ 
hama; Dia ho zava-dehibe fomba tsipelina ny anarany? 
hama; Handeha aho mba miezaka ho 2 volana ha ha afa-tsy mivazivazy 
hama; Ka ü mandoa voalohany lar... rehefa Avy eo dia da tahiry comin... 
